word_count,grapheme_count,codepoint_count,src,single_line_width_px,wrapped_line_count,estimated_image_height_px,fits_single_line,pixels_per_grapheme
48,210,293,CulturaX,5548.078125,7,349,False,26.419419642857143
8,36,47,CulturaX,892.890625,1,91,True,24.80251736111111
11,46,68,CulturaX,1318.1875,2,134,False,28.65625
22,89,124,CulturaX,2338.796875,3,177,False,26.27861657303371
19,83,124,CulturaX,2324.03125,3,177,False,28.000376506024097
11,42,57,CulturaX,1205.09375,2,134,False,28.692708333333332
16,64,89,CulturaX,1781.25,2,134,False,27.83203125
40,181,229,CulturaX,4327.546875,5,263,False,23.909098756906076
9,41,60,CulturaX,1088.59375,2,134,False,26.55106707317073
9,38,57,CulturaX,1054.25,2,134,False,27.74342105263158
8,45,63,CulturaX,1120.0625,2,134,False,24.89027777777778
31,137,188,CulturaX,3565.234375,4,220,False,26.023608576642335
18,79,115,CulturaX,2136.3125,3,177,False,27.041930379746834
38,186,276,CulturaX,4962.640625,6,306,False,26.680863575268816
11,48,74,CulturaX,1365.765625,2,134,False,28.453450520833332
23,117,167,CulturaX,2937.140625,4,220,False,25.103766025641026
15,62,85,CulturaX,1698.5625,2,134,False,27.396169354838708
7,30,41,CulturaX,780.6875,1,91,True,26.022916666666667
84,399,580,CulturaX,10769.21875,12,564,False,26.990523182957393
7,28,38,CulturaX,755.25,1,91,True,26.973214285714285
14,57,82,CulturaX,1461.453125,2,134,False,25.63952850877193
13,52,77,CulturaX,1358.578125,2,134,False,26.126502403846153
9,34,48,CulturaX,947.21875,1,91,True,27.859375
14,53,74,CulturaX,1492.46875,2,134,False,28.159787735849058
20,77,103,CulturaX,2047.078125,3,177,False,26.585430194805195
11,53,79,CulturaX,1354.375,2,134,False,25.55424528301887
32,188,230,CulturaX,3841.0625,5,263,False,20.4311835106383
12,54,78,CulturaX,1426.453125,2,134,False,26.41579861111111
27,122,175,CulturaX,3234.4375,4,220,False,26.511782786885245
10,48,75,CulturaX,1363.78125,2,134,False,28.412109375
7,29,39,CulturaX,797.46875,1,91,True,27.498922413793103
9,45,61,CulturaX,1214.5,2,134,False,26.988888888888887
14,53,69,CulturaX,1439.28125,2,134,False,27.15625
14,66,86,CulturaX,1706.96875,2,134,False,25.86316287878788
19,92,128,CulturaX,2244.125,3,177,False,24.39266304347826
9,42,55,CulturaX,1098.171875,2,134,False,26.146949404761905
9,33,49,CulturaX,910.234375,1,91,True,27.582859848484848
12,57,90,CulturaX,1625.359375,2,134,False,28.515076754385966
26,104,139,CulturaX,2662.125,3,177,False,25.59735576923077
20,112,170,CulturaX,2984.265625,4,220,False,26.645228794642858
8,31,47,CulturaX,777.875,1,91,True,25.092741935483872
11,44,63,CulturaX,1249.265625,2,134,False,28.392400568181817
40,199,286,CulturaX,5390.015625,6,306,False,27.08550565326633
11,44,62,CulturaX,1139.109375,2,134,False,25.888849431818183
8,33,49,CulturaX,850.65625,1,91,True,25.77746212121212
